,full_name,selling_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power
0,maruti alto,1.2,2012,Individual,120000,First Owner,Petrol,Manual,19.7,796,46.3
1,hyundai grand,5.5,2016,Individual,20000,First Owner,Petrol,Manual,18.9,1197,82.0
2,hyundai i20,2.15,2010,Individual,60000,First Owner,Petrol,Manual,17.0,1197,80.0
3,maruti alto,2.26,2012,Individual,37000,First Owner,Petrol,Manual,20.92,998,67.1
4,ford ecosport,5.7,2015,Dealer,30000,First Owner,Diesel,Manual,22.77,1498,98.59
5,maruti wagon,3.5,2013,Individual,35000,First Owner,Petrol,Manual,18.9,998,67.1
6,hyundai i10,3.15,2013,Dealer,40000,First Owner,Petrol,Manual,20.36,1197,78.9
7,maruti wagon,4.1,2018,Dealer,17512,First Owner,Petrol,Manual,20.51,998,67.04
8,hyundai venue,10.5,2019,Individual,20000,First Owner,Petrol,Automatic,18.15,998,118.35
9,mahindra tuv,5.75,2017,Dealer,70000,First Owner,Diesel,Manual,18.49,1493,100.0
10,tata indigo,3.05,2015,Individual,50000,First Owner,Diesel,Manual,19.09,1405,69.01
11,renault captur,11.5,2019,Individual,18000,First Owner,Diesel,Manual,20.37,1461,108.49
12,maruti swift,5.11,2017,Dealer,28321,First Owner,Petrol,Manual,16.6,1197,85.0
13,nissan micra,4.1,2016,Dealer,27000,First Owner,Petrol,Automatic,19.34,1198,76.0
14,hyundai verna,4.25,2013,Dealer,65278,First Owner,Diesel,Manual,22.32,1582,126.32
15,renault duster,7.5,2016,Individual,50000,First Owner,Diesel,Manual,19.64,1461,108.45
16,mini cooper,32.5,2017,Dealer,6000,First Owner,Petrol,Automatic,14.41,1998,189.08
17,maruti ciaz,6.5,2016,Dealer,76000,First Owner,Diesel,Manual,28.09,1248,88.5
18,maruti swift,6.27,2016,Individual,20000,First Owner,Diesel,Manual,25.2,1248,74.0
19,mercedesbenz cclass,14.25,2014,Dealer,65000,First Owner,Diesel,Automatic,19.27,2143,170.0
20,maruti swift,4.25,2014,Dealer,62200,First Owner,Diesel,Manual,28.4,1248,74.0
21,toyota innova,6.05,2013,Individual,110000,First Owner,Diesel,Manual,12.99,2494,100.6
22,maruti baleno,6.0,2015,Individual,20000,First Owner,Petrol,Manual,21.4,1197,83.1
23,maruti swift,5.75,2016,Individual,40000,First Owner,Petrol,Manual,20.85,1197,83.14
24,fiat grande,2.6,2012,Individual,97000,First Owner,Diesel,Manual,17.8,1248,76.0
25,volkswagen vento,4.25,2013,Dealer,47000,First Owner,Petrol,Manual,16.09,1598,103.2
26,maruti alto,2.3,2013,Dealer,25000,First Owner,Petrol,Manual,20.92,998,67.1
27,hyundai creta,12.25,2019,Individual,15000,First Owner,Diesel,Manual,19.67,1582,126.2
28,mahindra xylo,3.75,2010,Dealer,56823,First Owner,Diesel,Manual,14.02,2179,118.3
29,honda city,7.5,2015,Individual,50000,First Owner,Petrol,Manual,17.4,1497,117.3
30,mahindra bolero,3.5,2011,Individual,25000,First Owner,Diesel,Manual,13.6,2523,63.0
31,maruti swift,6.0,2015,Individual,90000,First Owner,Diesel,Manual,26.59,1248,74.0
32,maruti swift,3.9,2013,Dealer,45000,First Owner,Diesel,Manual,26.59,1248,74.0
33,honda city,1.45,2007,Dealer,77253,First Owner,Petrol,Manual,17.7,1497,78.0
34,hyundai i20,7.0,2018,Individual,25000,First Owner,Petrol,Manual,17.19,1197,81.86
35,toyota fortuner,11.5,2013,Individual,110000,First Owner,Diesel,Manual,13.0,2982,168.5
36,renault kwid,3.4,2017,Individual,30000,First Owner,Petrol,Manual,23.01,999,67.0
37,honda amaze,4.65,2016,Dealer,39993,First Owner,Petrol,Manual,18.6,1199,88.76
38,hyundai santro,1.25,2009,Individual,80000,First Owner,Petrol,Manual,17.92,1086,62.1
39,mahindra xuv500,6.0,2012,Individual,185000,First Owner,Diesel,Manual,15.1,2179,140.0
40,maruti swift,3.8,2013,Individual,90000,First Owner,Diesel,Manual,23.4,1248,74.0
41,mahindra xylo,4.0,2009,Individual,60000,First Owner,Diesel,Manual,14.0,2498,112.0
42,chevrolet sail,3.0,2014,Individual,90000,First Owner,Diesel,Manual,22.1,1248,74.0
43,hyundai xcent,5.0,2015,Individual,20000,First Owner,Petrol,Manual,19.1,1197,82.0
44,hyundai i20,8.5,2018,Individual,15000,First Owner,Diesel,Manual,22.54,1396,88.73
45,hyundai i20,5.98,2018,Individual,40000,First Owner,Petrol,Manual,18.6,1197,81.83
46,honda city,7.0,2015,Dealer,31180,First Owner,Petrol,Automatic,18.0,1497,117.3
47,mahindra tuv,9.0,2018,Individual,40000,First Owner,Diesel,Automatic,18.49,1493,100.0
48,maruti 800,0.75,2004,Individual,50000,First Owner,Petrol,Manual,16.1,796,37.0
49,tata indigo,3.0,2015,Individual,58000,First Owner,Diesel,Manual,19.09,1396,69.0
50,maruti swift,4.1,2014,Dealer,56000,First Owner,Diesel,Manual,23.4,1248,74.0
51,fiat grande,3.0,2011,Individual,93000,First Owner,Diesel,Manual,20.5,1248,91.7
52,ambassador avigo,2.25,2010,Dealer,86000,First Owner,Petrol,Manual,12.2,1817,75.0
53,maruti baleno,5.9,2016,Dealer,52427,First Owner,Petrol,Automatic,21.4,1197,83.1
54,mahindra bolero,8.5,2020,Individual,40000,First Owner,Diesel,Manual,21.0,1498,74.96
55,tata nano,1.08,2011,Individual,70000,First Owner,Petrol,Manual,26.0,624,35.0
56,mahindra kuv100,5.5,2018,Individual,17000,First Owner,Petrol,Manual,18.15,1198,82.0
57,toyota etios,3.25,2012,Dealer,54325,First Owner,Petrol,Manual,17.6,1496,88.73
58,maruti baleno,6.25,2016,Dealer,22000,First Owner,Petrol,Manual,15.4,1590,94.0
59,maruti swift,6.0,2016,Individual,54000,First Owner,Petrol,Manual,20.85,1197,83.14
60,maruti wagon,4.45,2019,Individual,10000,First Owner,Petrol,Manual,20.51,998,67.04
61,maruti ignis,5.3,2019,Individual,20000,First Owner,Petrol,Manual,20.89,1197,81.8
62,toyota corolla,3.85,2011,Dealer,61000,First Owner,Petrol,Manual,14.53,1798,138.1
63,maruti wagon,4.1,2018,Trustmark Dealer,53237,First Owner,CNG,Manual,19.6,998,58.16
64,datsun redigo,3.5,2018,Individual,27263,First Owner,Petrol,Manual,22.5,999,68.0
65,tata indigo,2.65,2014,Individual,90000,First Owner,Diesel,Manual,25.0,1396,69.01
66,hyundai verna,5.2,2014,Individual,110000,First Owner,Diesel,Manual,22.32,1582,126.3
67,hyundai i20,7.5,2016,Individual,70000,First Owner,Diesel,Manual,22.54,1396,88.73
68,maruti swift,5.6,2017,Individual,70000,First Owner,Diesel,Manual,26.59,1248,74.0
69,tata vista,2.0,2014,Individual,190000,First Owner,Diesel,Manual,19.1,1405,70.0
70,hyundai xcent,6.0,2017,Individual,40000,First Owner,Diesel,Manual,25.4,1186,73.97
71,hyundai i20,6.55,2019,Dealer,39000,First Owner,Petrol,Manual,18.6,1197,81.83
72,hyundai santro,1.25,2007,Dealer,56000,First Owner,Petrol,Manual,17.8,1086,63.0
73,toyota corolla,4.25,2009,Dealer,58000,First Owner,Petrol,Automatic,14.53,1794,138.1
74,maruti omni,2.2,2017,Individual,40000,First Owner,Petrol,Manual,16.8,796,34.2
75,hyundai i20,5.5,2018,Individual,34000,First Owner,Petrol,Manual,18.6,1197,81.83
76,mahindra scorpio,11.5,2017,Individual,50000,First Owner,Diesel,Manual,15.4,1997,120.0
77,volkswagen vento,5.0,2012,Individual,77400,First Owner,Diesel,Manual,20.54,1598,103.6
78,mahindra marazzo,9.9,2019,Individual,36000,First Owner,Diesel,Manual,17.3,1497,121.0
79,hyundai verna,5.51,2013,Dealer,47876,First Owner,Diesel,Manual,25.0,1493,113.42
80,mahindra xuv500,16.5,2018,Individual,21500,First Owner,Diesel,Automatic,15.1,2179,152.87
81,hyundai grand,3.5,2015,Dealer,75000,First Owner,Diesel,Manual,24.0,1120,70.0
82,ford aspire,5.0,2017,Dealer,58000,First Owner,Petrol,Manual,18.16,1196,86.8
83,maruti swift,5.75,2018,Individual,30000,First Owner,Petrol,Manual,21.21,1197,81.8
84,hyundai grand,5.45,2018,Individual,50000,First Owner,Diesel,Manual,24.0,1186,73.97
85,ford figo,5.25,2017,Trustmark Dealer,19093,First Owner,Petrol,Manual,18.16,1196,86.8
86,honda amaze,4.0,2014,Individual,50000,First Owner,Petrol,Manual,18.0,1198,86.7
87,maruti wagon,1.55,2006,Dealer,37000,First Owner,Petrol,Manual,14.0,1061,64.0
88,mahindra supro,5.4,2019,Individual,3888,First Owner,Diesel,Manual,23.5,909,45.0
89,maruti swift,5.45,2016,Dealer,47000,First Owner,Diesel,Manual,26.59,1248,74.0
90,honda city,5.45,2013,Individual,70000,First Owner,Petrol,Manual,16.8,1497,116.3
91,renault kwid,2.4,2016,Individual,25000,First Owner,Petrol,Manual,25.17,799,53.3
92,maruti vitara,7.25,2018,Dealer,26000,First Owner,Diesel,Manual,24.3,1248,88.5
93,ford aspire,4.8,2017,Individual,30000,First Owner,Petrol,Manual,18.16,1196,86.8
94,hyundai i20,3.75,2013,Individual,15000,First Owner,Petrol,Manual,18.5,1197,82.9
95,maruti swift,2.25,2011,Individual,160000,First Owner,Diesel,Manual,17.8,1248,75.0
96,tata tiago,4.0,2017,Individual,32100,First Owner,Petrol,Manual,23.84,1199,84.0
97,hyundai i20,5.5,2016,Dealer,22000,First Owner,Petrol,Manual,18.5,1197,82.9
98,mahindra scorpio,10.5,2016,Dealer,44000,First Owner,Diesel,Manual,15.4,2179,120.0
99,volkswagen polo,4.5,2016,Dealer,78000,First Owner,Petrol,Manual,18.78,1198,74.0
100,mercedesbenz cclass,7.75,2012,Dealer,74352,First Owner,Petrol,Automatic,11.74,1796,186.0
101,maruti wagon,3.5,2014,Individual,37000,First Owner,Petrol,Manual,20.51,998,67.04
102,honda city,5.5,2014,Dealer,69000,First Owner,Diesel,Manual,25.1,1498,98.6
103,kia seltos,10.8,2019,Individual,12120,First Owner,Petrol,Manual,16.8,1497,113.4
104,maruti baleno,5.75,2016,Dealer,52000,First Owner,Petrol,Manual,21.01,1197,81.8
105,toyota innova,9.5,2016,Individual,120000,First Owner,Diesel,Manual,12.99,2494,100.6
106,maruti alto,2.3,2013,Individual,55000,First Owner,Petrol,Manual,22.74,796,47.3
107,hyundai i20,2.7,2011,Individual,160000,First Owner,Diesel,Manual,21.9,1396,90.0
108,chevrolet beat,1.65,2012,Dealer,42000,First Owner,Diesel,Manual,25.44,936,56.3
109,ford figo,1.3,2011,Individual,40000,First Owner,Petrol,Manual,15.6,1196,70.0
110,maruti swift,3.7,2012,Dealer,46000,First Owner,Petrol,Manual,19.1,1197,85.8
111,maruti baleno,5.7,2017,Dealer,25000,First Owner,Petrol,Manual,21.4,1197,83.1
112,toyota etios,3.9,2015,Individual,240000,First Owner,Diesel,Manual,23.59,1364,67.05
113,volkswagen polo,3.65,2013,Dealer,90000,First Owner,Diesel,Manual,22.07,1199,73.9
114,hyundai i20,2.8,2012,Dealer,49566,First Owner,Petrol,Manual,18.5,1197,82.85
115,hyundai verna,12.5,2018,Dealer,14000,First Owner,Diesel,Automatic,22.0,1582,126.2
116,hyundai i20,5.9,2016,Dealer,11000,First Owner,Petrol,Manual,18.6,1197,81.83
117,maruti celerio,4.75,2018,Individual,5000,First Owner,Petrol,Automatic,23.1,998,67.04
